ID,Station Name,Street Address,City,ZIP,Latitude,Longitude,Location, # of Level1,#of level 2,Super chager,number of chager,Service ability(daily)
78091,Quikpark - Tesla,251 W 62nd St,New York,10282,40.773648,-73.989452,"(40.773648, -73.989452)",,2,,2,32
65296,Saint George Courthouse,54 Central Ave,Staten Island,10301,40.63947,-74.076912,"(40.63947, -74.076912)",,3,,3,48
99500,Nissan of Staten Island,1976 Hylan Blvd,Staten Island,10306,40.581432,-74.097694,"(40.581432, -74.097694)",,1,,1,16
74414,Angelina's Ristorante - Tesla,399 Ellis St,Staten Island,10307,40.51337,-74.25137,"(40.51337, -74.25137)",,2,,2,32
64140,Dana Ford Lincoln,266 W Service Rd,Staten Island,10314,40.564507,-74.196034,"(40.564507, -74.196034)",,1,,1,16
65291,East 149th Street Municipal Parking Garage,315 E 149th St,Bronx,10451,40.817326,-73.920914,"(40.817326, -73.920914)",,3,,3,48
96647,Gateway Center at Bronx Terminal Market,610 Exterior St,Bronx,10451,40.822142,-73.931128,"(40.822142, -73.931128)",,1,,1,16
46412,MP 102 LLC,401 Bedford Park Blvd,Bronx,10458,40.8671646,-73.8831863,"(40.8671646, -73.8831863)",,2,,2,32
51676,WCS,2300 Southern Blvd,Bronx,10460,40.850625,-73.8811322,"(40.850625, -73.8811322)",,2,,2,32
104341,WCS,Boston Rd,Bronx,10460,40.8466117,-73.876323,"(40.8466117, -73.876323)",,2,,2,32
52016,ATAHOUSING407,1734-1774 Mulford Ave,Bronx,10461,40.8468211,-73.8346327,"(40.8468211, -73.8346327)",,2,,2,32
53110,MONTEFIOREMOSES,613 E 233rd St,Bronx,10466,40.894881,-73.860525,"(40.894881, -73.860525)",,2,,2,32
53124,MONTEFIOREMOSES,111 E 210th St,New York,10467,40.8797184,-73.8803938,"(40.8797184, -73.8803938)",,2,,2,32
65294,Jerome-Gun Hill Road Municipal Parking Garage,3510 Jerome Ave,Bronx,10467,40.882882,-73.881083,"(40.882882, -73.881083)",,3,,3,48
94830,Parking Garage,2478 Jerome Ave,Bronx,10468,40.863131,-73.900529,"(40.863131, -73.900529)",,3,,3,48
51297,LAFAYETTE BOYNT,901 Boynton Ave,Bronx,10473,40.8214511,-73.8776415,"(40.8214511, -73.8776415)",,2,,2,32
74534,iPark - Tesla,330 E 46th St,New York,11017,40.751578,-73.969043,"(40.751578, -73.969043)",,2,,2,32
65290,Court Square Municipal Parking Garage,45 Court Square,Queens,11101,40.745358,-73.942642,"(40.745358, -73.942642)",,6,,6,96
89471,Quikpark - Tesla,43-08 Crescent St,New York,11101,40.748757,-73.943417,"(40.748757, -73.943417)",,2,,2,32
95054,Hunter's Point South Crossing,1-55 Borden Avenue,Queens,11101,40.742397,-73.959225,"(40.742397, -73.959225)",,2,,2,32
51687,MP 225 LLC,100 Jay St,New York,11201,40.7018205,-73.9868238,"(40.7018205, -73.9868238)",,2,,2,32
69709,EDISONPARKFAST,92 Livingston St,new york,11201,40.6909201,-73.9904641,"(40.6909201, -73.9904641)",,1,,1,16
74399,GGMC Parking - Tesla,75 Smith St,Brooklyn,11201,40.689243,-73.988718,"(40.689243, -73.988718)",,2,,2,32
74408,Quik Park - Tesla,81 Fleet Pl,Brooklyn,11201,40.693208,-73.981326,"(40.693208, -73.981326)",,2,,2,32
74409,Quik Park - Tesla,4 Joralemon St,Brooklyn,11201,40.694142,-74.000198,"(40.694142, -74.000198)",,2,,2,32
74454,Parkright - Tesla,257 Gold St,Brooklyn,11201,40.692397,-73.983382,"(40.692397, -73.983382)",,2,,2,32
81989,Enterprise - Tesla,309 Gold St,Brooklyn,11201,40.692282,-73.983386,"(40.692282, -73.983386)",,2,,2,32
89448,1 Hotel Brooklyn Bridge - Tesla,60 Furman St,Brooklyn,11201,40.701461,-73.995566,"(40.701461, -73.995566)",,5,,5,80
89449,GGMC Belltel Car Park - Tesla,356 Bridge St,Brooklyn,11201,40.692579,-73.985252,"(40.692579, -73.985252)",,2,,2,32
89451,Park Kwik - Tesla,45 Main St,Brooklyn,11201,40.702882,-73.990594,"(40.702882, -73.990594)",,2,,2,32
89452,Rapidpark - Tesla,44 State St,Brooklyn,11201,40.692062,-73.99816,"(40.692062, -73.99816)",,2,,2,32
89450,Kings County Parking - Tesla,581 Clarkson Ave,Brooklyn,11203,40.65601,-73.940902,"(40.65601, -73.940902)",,2,,2,32
99290,Greenlots - 92133,581 Clarkson Ave,Brooklyn,11203,40.656148,-73.940355,"(40.656148, -73.940355)",,2,,2,32
82004,Quik Park - Tesla,172 Venderbilt,Brooklyn,11205,40.6922396,-73.9696545,"(40.6922396, -73.9696545)",,2,,2,32
94832,Brooklyn Navy Yard,63 Flushing Ave,Brooklyn,11205,40.698235,-73.975114,"(40.698235, -73.975114)",,10,,10,160
65288,Bay Ridge Municipal Parking Garage,8501 5th Ave,Brooklyn,11209,40.62215,-74.02565,"(40.62215, -74.02565)",,3,,3,48
82010,iPark - Tesla,22 N 5th St,Brooklyn,11211,40.719425,-73.963259,"(40.719425, -73.963259)",,2,,2,32
75749,Discount Parking - Tesla,180 Ashland Pl,Brooklyn,11214,40.689444,-73.978543,"(40.689444, -73.978543)",,2,,2,32
72939,Whole Foods Market Third and 3rd Station 2,214  3rd St,Brooklyn,11215,40.67524162,-73.9886306,"(40.67524162, -73.9886306)",,1,,1,16
72964,Whole Foods Market Third and 3rd Station 1,214  3rd St,Brooklyn,11215,40.6751862,-73.9885306,"(40.6751862, -73.9885306)",,1,,1,16
73056,GE WattStation,214  3rd St,Brooklyn,11215,40.6753309,-73.9885628,"(40.6753309, -73.9885628)",,1,,1,16
85460,GOWANUS,214 3rd St,Brooklyn,11215,40.675124,-73.988492,"(40.675124, -73.988492)",,4,,4,64
89453,Rapidpark - Tesla,906 Union St,Brooklyn,11215,40.672884,-73.971541,"(40.672884, -73.971541)",,2,,2,32
93308,Walgreens,589 Prospect Ave,Brooklyn,11215,40.65678,-73.97776,"(40.65678, -73.97776)",,1,2,3,80
103930,"Walgreens - Brooklyn, NY #15097",589 Prospect Avenue,Brooklyn,11215,40.6567801,-73.9777597,"(40.6567801, -73.9777597)",,1,,1,16
74398,GGMC Parking - Tesla,66 Rockwell Pl,Brooklyn,11217,40.688342,-73.979285,"(40.688342, -73.979285)",,2,,2,32
